Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2/12/22,17:30 (12:30),Premier League,Matchweek 25,Sat,Away,W,4,0,Norwich City,4.9,0.5,71,27010,Fernandinho,4/3/03,Andre Marriner,Match Report,
2/15/22,20:00 (15:00),Champions Lg,Round of 16,Tue,Away,W,5,0,pt Sporting CP,2.1,0.1,63,48129,Rúben Dias,4/3/03,Srdjan Stojanovic,Match Report,Leg 1 of 2
2/19/22,17:30 (12:30),Premier League,Matchweek 26,Sat,Home,L,2,3,Tottenham,2.6,1.1,71,53201,İlkay Gündoğan,4/3/03,Anthony Taylor,Match Report,
2/26/22,17:30 (12:30),Premier League,Matchweek 27,Sat,Away,W,1,0,Everton,1.9,0.5,67,39105,İlkay Gündoğan,4/3/03,Paul Tierney,Match Report,
3/1/22,19:15 (14:15),FA Cup,Fifth round proper,Tue,Away,W,2,0,P'borough Utd,,,76,13405,Oleksandr Zinchenko,4/3/03,Andy Madley,Match Report,
3/6/22,16:30 (11:30),Premier League,Matchweek 28,Sun,Home,W,4,1,Manchester Utd,3.1,0.5,69,53165,Kevin De Bruyne,4/3/03,Michael Oliver,Match Report,
3/9/22,20:00 (15:00),Champions Lg,Round of 16,Wed,Home,D,0,0,pt Sporting CP,1.5,0.8,68,51213,Fernandinho,4/3/03,Halil Umut Meler,Match Report,Leg 2 of 2; Manchester City won
3/14/22,20:00 (16:00),Premier League,Matchweek 29,Mon,Away,D,0,0,Crystal Palace,2.9,0.8,73,25309,Kevin De Bruyne,4/3/03,Martin Atkinson,Match Report,
3/20/22,15:00 (11:00),FA Cup,Quarter-finals,Sun,Away,W,4,1,Southampton,,,65,29702,İlkay Gündoğan,4/3/03,Mike Dean,Match Report,
4/2/22,15:00 (10:00),Premier League,Matchweek 31,Sat,Away,W,2,0,Burnley,2,0.1,76,21249,İlkay Gündoğan,4/3/03,Craig Pawson,Match Report,
4/5/22,20:00 (15:00),Champions Lg,Quarter-finals,Tue,Home,W,1,0,es Atlético Madrid,1,0,70,52018,İlkay Gündoğan,4/3/03,István Kovács,Match Report,Leg 1 of 2
4/10/22,16:30 (11:30),Premier League,Matchweek 32,Sun,Home,D,2,2,Liverpool,1.6,1.2,55,53197,Kevin De Bruyne,4-2-3-1,Anthony Taylor,Match Report,
